sample	bin.id	Assembly	gtdb	completeness	contamination	strain.heterogeneity	X16S.location	X16S.lineage.SILVA	X16S.v4	X5S.location	X23S.location	DrepWinner	Domain	Phylum	Class	Order	Family	Genus	Species	X
KS	KS_bin.19	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA9475;s__	61.04	8.95	8.7	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__UBA9475	s__	
KS	KS_bin.96	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	58.91	8.62	0	none			scaffold_4190	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	
KS	KS_bin.31	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__	97.65	3.8	10	none			scaffold_2760	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Oscillibacter	s__	
KS	KS_bin.50	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	86.47	0.67	0	none			scaffold_572	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	
KS	KS_bin.26	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__	71.57	4.55	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__	s__	
KS	KS_bin.91	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__	66.85	0	0	scaffold_2441_b1-b375	Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;		scaffold_5548	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__	s__	
KS	KS_bin.14	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__	51.88	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__UBA11940	s__	
KS	KS_bin.18	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__	61.22	0.81	0	none			"scaffold_208, scaffold_643"	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__UBA11940	s__	
KS	KS_bin.1	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA3700;g__;s__	84.97	0.93	0	none			none	scaffold_318	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__UBA3700	g__	s__	
KS	KS_bin.24	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	57.89	0	0	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__	
KS	KS_bin.49	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__	96	2.53	20	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__	
KS	KS_bin.36	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	90.51	0.79	0	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__	
KS	KS_bin.25	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	73.53	3.96	14.29	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__	
KS	KS_bin.68	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	63.09	0.17	0	scaffold_2444	Unclassified;	nomatch	scaffold_821	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__	
KS	KS_bin.46	idba by sample	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__	65.09	0	0	none			none	none	no	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__	s__	
KS	KS_bin.66	idba by sample	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	93.14	1.4	0	none			none	none	no	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-873	s__	
LM	LM_man_bin_akkermansia	idba by sample	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.96	0	0	none			none	none	no	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	
LM	LM_bin.8	idba by sample	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp002362485	69.12	0	0	none			none	none	yes	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__CAG-485	s__CAG-485 sp002362485	
LM	LM_man_bin_alistipes	idba by sample	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.04	0	0	none			none	none	yes	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp002428825	
LM	LM_bin.118	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__	92.22	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Acutalibacter	s__	
LM	LM_bin.67	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	50.19	0.67	100	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__	
LM	LM_bin.121	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	89.82	1.51	0	none			scaffold_4630	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__	
LM	LM_bin.81	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	90.67	2.52	80	none			scaffold_3284	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__	
LM	LM_bin.62	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	52.8	6.15	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	s__	
LM	LM_bin.79	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA11940;s__	94.35	0.81	0	none			"scaffold_1073, scaffold_182"	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-727	g__UBA11940	s__	
LM	LM_bin.27	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__	90.16	0.1	66.67	none			scaffold_403	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-917	g__CAG-475	s__	
LM	LM_bin.44	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__UBA3700;g__;s__	81.1	0	0	scaffold_1121	Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;	Clostridiales_vadinBB60_group_D_5__uncultured_bacterium_5e18094f37d33836726fabc09f8e46fc_%100	none	scaffold_564	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__UBA3700	g__	s__	
LM	LM_bin.50	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	76.25	1.15	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Kineothrix	s__	
LM	LM_bin.85	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	97.7	0	0	scaffold_46_b1-b393	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;		none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA3282	s__	
LM	LM_bin.110	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	94.25	1.44	0	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LM	LM_bin.124	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SZUA-378;s__	69.46	5.46	6.25	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SZUA-378	s__	
LM	LM_bin.123	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	82.23	2.96	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	
LM	LM_bin.102	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	66.67	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__	
LM	LM_bin.120	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	96.49	4.15	45	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LM	LM_bin.92	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	93.96	0	0	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__	
LM	LM_bin.130	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella_A;s__	90.59	8.71	25	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Hungatella_A	s__	
LM	LM_bin.136	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	66.32	4.96	5	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LM	LM_bin.119	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	93.1	8.02	25	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__	
LM	LM_bin.69	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	77.67	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__	
LM	LM_bin.122	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	83.43	2.64	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__	
LM	LM_bin.95	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	69.94	0.32	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LM	LM_bin.91	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__	62.94	0	0	scaffold_3243_b1-b382	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;		none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__	
LM	LM_bin.108	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	89.26	1.51	25	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__	
LO	LO_bin.3	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	62.96	1.15	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp002490665	
LO	LO_bin.23	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__14-2;s__14-2 sp000403315	57.89	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__14-2	s__14-2 sp000403315	
LO	LO_man_bin_akkermansia	idba by sample	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.96	0	0	none			none	none	no	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Akkermansia	s__Akkermansia muciniphila	
LO	LO_man_bin_alistipes	idba by sample	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825	99.04	0	0	none			none	none	no	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes sp002428825	
LO	LO_bin.85	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	72.48	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruminiclostridium_E	s__	
LO	LO_bin.92	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Angelakisella;s__	87.13	4.7	0	none			"scaffold_455, scaffold_455"	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__	
LO	LO_bin.101	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Marseille-P3106;s__	54.59	2.01	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Marseille-P3106	s__	
LO	LO_bin.20	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-475;s__	90.16	0.08	60	scaffold_3077	Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;	Clostridiales_vadinBB60_group_D_5__uncultured_bacterium_3468e2a610f30cb3f84ce4c71fc13e77_%100	scaffold_301	scaffold_3077	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__4C28d-15	f__CAG-917	g__CAG-475	s__	
LO	LO_bin.72	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	72.13	3.55	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Kineothrix	s__	
LO	LO_bin.122	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	57.08	6.35	19.23	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LO	LO_bin.105	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	93.1	3.35	21.43	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LO	LO_bin.97	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SZUA-378;s__	97.59	2.67	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__SZUA-378	s__	
LO	LO_bin.82	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	96.44	2.78	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	
LO	LO_bin.104	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	94.25	1.92	16.67	scaffold_2622_b1-b390	Unclassified;	nomatch	none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Acetatifactor	s__	
LO	LO_bin.115	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	94.29	0.83	0	none			none	none	yes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	s__	
LO	LO_bin.98	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7182;s__	97.47	1.27	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__	
LO	LO_bin.113	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	94.35	3.96	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LO	LO_bin.73	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	58.54	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA9502	s__	
LO	LO_bin.48	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	52.63	0	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__	s__	
LO	LO_bin.119	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__	50.55	0.67	0	none			none	scaffold_4711	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	s__	
LO	LO_bin.102	idba by sample	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	96.91	0	0	none			none	none	yes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelotrichaceae	g__	s__	
LO	LO_bin.11	idba by sample	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__CAG-307;g__;s__	69.44	0	0	none			"scaffold_3934, scaffold_527"		no	d__Bacteria	p__Firmicutes	c__Bacilli	o__Acholeplasmatales	f__CAG-307	g__	s__	
LP	LP_bin.2	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002490665	84.64	2.3	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__COE1	s__COE1 sp002490665	
LP	LP_bin.117	idba by sample	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__Dorea sp000403475	57.31	0.97	0	none			none	none	no	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea sp000403475	
